epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,231.676,1.32335,0.67202,1.16519,0.97363,0.90745,0.94232,0.65323,1.3621,0.67498,1.32847,0.0075646,0.0075646,0.0075646
125,233.456,1.33495,0.6755,1.18461,0.97108,0.90914,0.94123,0.66262,1.37047,0.66331,1.32824,0.0075448,0.0075448,0.0075448
126,235.245,1.3152,0.67232,1.16966,0.97068,0.90859,0.94477,0.66537,1.36244,0.66958,1.32589,0.007525,0.007525,0.007525
127,237.033,1.31736,0.6614,1.14604,0.97194,0.90914,0.94092,0.66156,1.36161,0.66429,1.32634,0.0075052,0.0075052,0.0075052
128,238.825,1.33626,0.67689,1.16513,0.95956,0.9141,0.94144,0.6555,1.36229,0.65287,1.32536,0.0074854,0.0074854,0.0074854
129,240.623,1.31171,0.66945,1.1661,0.95922,0.91147,0.94308,0.65509,1.35219,0.65073,1.32056,0.0074656,0.0074656,0.0074656
130,242.422,1.31211,0.66269,1.15988,0.96892,0.91275,0.94351,0.66339,1.34993,0.64992,1.31376,0.0074458,0.0074458,0.0074458
131,244.218,1.31151,0.66233,1.16536,0.96945,0.91162,0.9445,0.66581,1.35293,0.6614,1.31426,0.007426,0.007426,0.007426
132,246.006,1.29432,0.6614,1.16191,0.97228,0.91135,0.95244,0.68213,1.32375,0.63768,1.3108,0.0074062,0.0074062,0.0074062
133,247.792,1.31225,0.66047,1.15506,0.9728,0.9119,0.95301,0.67412,1.35331,0.65027,1.31664,0.0073864,0.0073864,0.0073864
134,249.571,1.31906,0.66868,1.16263,0.97478,0.90736,0.94118,0.6604,1.37331,0.68597,1.32743,0.0073666,0.0073666,0.0073666
135,251.361,1.30751,0.66836,1.18307,0.96661,0.90759,0.94153,0.64577,1.43171,0.69769,1.35487,0.0073468,0.0073468,0.0073468
136,253.162,1.29798,0.66077,1.1561,0.96701,0.91089,0.94072,0.6627,1.34643,0.66622,1.32683,0.007327,0.007327,0.007327
137,254.953,1.29793,0.66107,1.15469,0.97118,0.90914,0.94192,0.65156,1.37616,0.68116,1.33667,0.0073072,0.0073072,0.0073072
138,256.756,1.2961,0.64767,1.15537,0.97116,0.90473,0.94209,0.66304,1.36395,0.6682,1.32736,0.0072874,0.0072874,0.0072874
139,258.55,1.28296,0.64957,1.14789,0.96833,0.9141,0.94741,0.66869,1.35131,0.64142,1.31258,0.0072676,0.0072676,0.0072676
140,260.336,1.2776,0.64478,1.1294,0.97079,0.90648,0.94517,0.67036,1.3567,0.6442,1.31624,0.0072478,0.0072478,0.0072478
141,262.124,1.27552,0.65125,1.1663,0.97113,0.91285,0.95113,0.68026,1.33345,0.6374,1.30298,0.007228,0.007228,0.007228
142,263.911,1.2942,0.65626,1.14586,0.96752,0.90859,0.94558,0.67621,1.36114,0.64873,1.31782,0.0072082,0.0072082,0.0072082
143,265.708,1.28695,0.6539,1.16186,0.96127,0.9115,0.94822,0.67679,1.35144,0.64078,1.31799,0.0071884,0.0071884,0.0071884
144,267.5,1.30475,0.6653,1.1535,0.9725,0.90064,0.94718,0.64607,1.40556,0.67095,1.34027,0.0071686,0.0071686,0.0071686
145,269.286,1.28741,0.65697,1.16805,0.96304,0.90363,0.93524,0.65356,1.3584,0.66491,1.31708,0.0071488,0.0071488,0.0071488
146,271.082,1.28733,0.6493,1.14352,0.96928,0.90749,0.94255,0.66188,1.32761,0.65594,1.30046,0.007129,0.007129,0.007129
147,272.87,1.30077,0.65568,1.15461,0.96505,0.91355,0.93916,0.6574,1.36088,0.64625,1.31158,0.0071092,0.0071092,0.0071092
148,274.671,1.28312,0.63983,1.13718,0.9658,0.90517,0.94064,0.66897,1.35444,0.66625,1.31608,0.0070894,0.0070894,0.0070894
149,276.462,1.27486,0.65096,1.14553,0.97592,0.90253,0.94453,0.67706,1.34076,0.65118,1.3134,0.0070696,0.0070696,0.0070696
150,278.263,1.26755,0.63411,1.14889,0.97095,0.91165,0.95,0.66353,1.37666,0.66679,1.32068,0.0070498,0.0070498,0.0070498
151,280.043,1.28211,0.6489,1.15639,0.96566,0.92072,0.94925,0.67134,1.34693,0.62569,1.31303,0.00703,0.00703,0.00703
